m,f,round_n,stratege_type,score_x,score_y,color
m25,f15,1,1,60.53407351947276,66.69533259881264,#08519c
m15,f76,1,1,47.1176133082815,52.87341273706753,#08519c
m17,f13,1,1,61.4242885520112,55.29643994701055,#08519c
m35,f52,1,1,51.676862637161186,55.63386019654513,#08519c
m91,f97,1,1,62.30804589684278,61.64827440363729,#08519c
m42,f26,1,1,72.74968525890704,66.13359485909699,#08519c
m46,f79,1,1,55.366044414116665,55.04001015853793,#08519c
m51,f36,1,1,58.720434537019706,60.276459171477825,#08519c
m57,f56,1,1,60.04747983443438,56.84924335200327,#08519c
m67,f92,1,1,56.00769689648187,56.5074116435113,#08519c
m68,f33,1,1,50.82581544963298,44.82875864871343,#08519c
m13,f25,1,2,56.28737037299718,53.941116694780256,#08519c
m40,f86,1,2,69.90574017921209,60.17512173725197,#08519c
m48,f94,1,2,44.896598510073694,51.45330975981229,#08519c
m1,f21,2,1,56.10320044262783,52.73620155861038,#3182bd
m4,f3,2,1,60.74639504600227,63.88057339459953,#3182bd
m26,f71,2,1,57.945619173988945,62.62596638195051,#3182bd
m32,f39,2,1,57.45062980361081,64.08604185652013,#3182bd
m33,f89,2,1,66.31183580700595,66.17418279962537,#3182bd
m54,f72,2,1,66.81006285351022,61.41108334312165,#3182bd
m64,f43,2,1,67.9613662929221,63.03479761167997,#3182bd
m80,f42,2,1,64.86319184012844,63.01599444540876,#3182bd
m71,f85,2,1,59.25870185544426,57.254544284100696,#3182bd
m94,f90,2,1,67.41821358481987,70.01819052141333,#3182bd
m3,f19,3,1,50.00399286552507,50.356586753580245,#6baed6
m20,f53,3,1,58.85961316370385,60.371306265597276,#6baed6
m66,f31,3,1,60.15269966563951,60.17979541683491,#6baed6
m96,f22,3,1,69.59435842698798,69.4030531143272,#6baed6
m18,f40,3,2,58.00940364027063,56.24936961104754,#6baed6
m59,f47,3,2,63.05312779386312,53.18663669322792,#6baed6
m72,f17,4,1,61.234252536798806,66.55404328119492,#9ecae1
m9,f18,4,3,63.31486457476183,60.79350016606221,#9ecae1
