类别,Lng,Lat
素菜,121.85141450612689,30.86545460587258
素菜,121.7797678504513,31.04806259217145
素菜,121.76182026610135,31.043400232061426
素菜,121.75235921170813,31.046114726296295
素菜,121.75235921170813,31.046114726296295
素菜,121.70212582623631,31.21407922041648
素菜,121.63445088032871,31.20512438197369
素菜,121.59740133168354,31.205734948880433
素菜,121.59058677435657,31.33009498431109
素菜,121.58774465851225,31.32886489754325
素菜,121.58408069592721,31.314195134988733
素菜,121.57629496002639,31.275770932073254
素菜,121.57087963307468,31.24780828208815
素菜,121.55929527923975,31.214377191983786
素菜,121.55437336035921,31.212578148294966
素菜,121.55268372321792,31.247838838547715
素菜,121.54642802017135,31.270406146342882
素菜,121.54000100169077,31.295757056424513
素菜,121.53265700002875,31.233769577570385
素菜,121.53246814903464,31.273065726270417
素菜,121.51731181463612,31.24301379660961
素菜,121.51717307982469,31.293728720823623
素菜,121.51717307982469,31.293728720823623
素菜,121.51619473023557,31.293827925717245
素菜,121.51613629110398,31.2252936486242
素菜,121.51481607126686,31.304763687192867
素菜,121.51470186428118,31.231225814267134
素菜,121.51449458206378,31.23797311818827
素菜,121.51291476069754,31.33704522992284
素菜,121.50883437620965,31.243013462645283
素菜,121.50606689924837,31.23897616092028
素菜,121.50470974023966,31.25459313725749
素菜,121.50335744045057,31.23637931941691
素菜,121.5031690609185,31.256559696916845
素菜,121.50300339445373,31.257419826511278
素菜,121.50282274005114,31.257499254103717
素菜,121.50102879928085,31.322441585632436
素菜,121.5001750287339,31.082028821973303
素菜,121.4926401492974,31.374335770654966
素菜,121.48908847455938,31.232456448610442
素菜,121.48760687167555,31.189048917154217
素菜,121.48657586414592,31.228347884104263
素菜,121.48379604789673,31.40370087552367
素菜,121.48370876210785,31.216052211288662
素菜,121.48325643618043,31.271612813843713
素菜,121.48115248237755,31.23150746747136
素菜,121.47908007961728,31.304143388959428
素菜,121.47718782030391,31.219257756664962
素菜,121.47681048267057,31.219811416242013
素菜,121.47554649676405,31.23951066975078
素菜,121.475157929313,31.23074359857949
素菜,121.47257375676038,31.20145829985128
素菜,121.47217534949144,31.23750412571336
素菜,121.47164365511499,31.2250244314783
素菜,121.4709091038745,31.296523325327396
素菜,121.47079465381199,31.21568950392475
素菜,121.46815149475981,31.245502486083605
素菜,121.46688600507653,31.203893599721287
素菜,121.46645191320064,31.23551447808245
素菜,121.4658190711706,31.24527236450517
素菜,121.46479890514038,31.209822211644042
素菜,121.4641439972319,31.20824926120278
素菜,121.46386603285727,31.232731967085687
素菜,121.46368137507612,31.210426009939493
素菜,121.46186850824162,31.237249755857636
素菜,121.46113792555909,31.2415429476101
素菜,121.45818793041481,31.23262769607249
素菜,121.45710715961671,31.29799994329961
素菜,121.45591485475464,31.215508251991967
素菜,121.45356461572602,31.188364005422002
素菜,121.45224033202315,31.23095445638132
素菜,121.45223424591715,31.231762068687914
素菜,121.45147551350037,31.21658548431668
素菜,121.44868790743146,31.231672287090095
素菜,121.44812810643229,31.178025151669104
素菜,121.44812810643229,31.178025151669104
素菜,121.4480974546713,31.196279951187588
素菜,121.44787200466725,31.218049933293944
素菜,121.44787200466725,31.218049933293944
素菜,121.44761599989556,31.337773507953354
素菜,121.4469106836936,31.228551974428125
素菜,121.44588171275099,31.29131350888679
素菜,121.44563070992317,31.226460309869836
素菜,121.44454905303303,31.215415340697778
素菜,121.44454905303303,31.215415340697778
素菜,121.44454905303303,31.215415340697778
素菜,121.44454905303303,31.215415340697778
素菜,121.44449834395898,31.22221801368025
素菜,121.44449834395898,31.22221801368025
素菜,121.4431162901895,31.173531219923962
素菜,121.44301760986596,31.225045764388035
素菜,121.44296033157083,31.21516032915614
素菜,121.44278932827703,31.326055953876764
素菜,121.44232956539201,31.230312978695615
素菜,121.44232956539201,31.230312978695615
素菜,121.4418056152935,31.22747229958564
素菜,121.44168195927112,31.24336576590828
素菜,121.44106709707324,31.040258735068917
素菜,121.44102948461224,31.243434506197342
素菜,121.44074742405857,31.225317317499645
素菜,121.44057798360151,31.226061654461315
素菜,121.44057798360151,31.226061654461315
素菜,121.44057798360151,31.226061654461315
素菜,121.44057798360151,31.226061654461315
素菜,121.43942181122706,31.2219184826099
素菜,121.43920254176624,31.24266050210397
素菜,121.43908889375992,31.224228795588008
素菜,121.43908889375992,31.224228795588008
素菜,121.43893561626619,31.235185431671507
素菜,121.43893561626619,31.235185431671507
素菜,121.43801794718904,31.24354199754704
素菜,121.43743431998338,31.225199421403314
素菜,121.43743431998338,31.225199421403314
素菜,121.43656255443462,31.213405513856614
素菜,121.43594467063565,31.197689103270235
素菜,121.43594467063565,31.197689103270235
素菜,121.43512827234532,31.19516699465918
素菜,121.43423060009866,31.194375929976953
素菜,121.43387680734885,31.230343114610537
素菜,121.43303189544724,31.337603732563508
素菜,121.43131157024634,31.1786742892782
素菜,121.43112924104248,31.224884448887376
素菜,121.43095593048918,31.224943166183046
素菜,121.43018225203522,31.20573021011975
素菜,121.42864222909186,31.1761437639515
素菜,121.42645595059918,31.220045290243185
素菜,121.42610024896938,31.371135757995592
素菜,121.42496968772095,31.220535206560207
素菜,121.42387319965428,31.231150933805807
素菜,121.42387319965428,31.231150933805807
素菜,121.42119089019398,31.20518228962204
素菜,121.42104871320535,31.20516414977665
素菜,121.42084223725205,31.2191812083278
素菜,121.41653262445631,31.135739480838637
素菜,121.41131473747953,31.17397665924046
素菜,121.40922106379419,31.15383291924656
素菜,121.40719335757116,31.10258370409326
素菜,121.40687526383998,31.17087399467752
素菜,121.40113620527558,31.24049663345949
素菜,121.4001493938079,31.213479121530778
素菜,121.39752918406788,31.21363092092732
素菜,121.39337452907263,31.21447692966296
素菜,121.39242193798779,31.212318163649105
素菜,121.39070276337016,31.197277935872087
素菜,121.38767247207328,31.23808366227076
素菜,121.38245193410592,31.109060122836162
素菜,121.38217653308962,31.32252859669325
素菜,121.37999084838269,31.24756187114073
素菜,121.37920586089021,31.18645851380978
素菜,121.37813442510055,31.110743326469436
素菜,121.3759452930775,31.32074606770194
素菜,121.36077990508136,31.260963626930845
素菜,121.35480208244124,31.158582605063984
素菜,121.35384179469932,31.101269050491553
素菜,121.35202613940186,31.159454508005975
素菜,121.34623469677729,31.156988415311933
素菜,121.34585213220649,31.160933015640303
素菜,121.33833480130873,31.255273882078235
素菜,121.33145051724895,31.13383261502641
素菜,121.33145051724895,31.13383261502641
素菜,121.32833490625549,31.164542324287268
素菜,121.31922802972791,31.241593245065157
素菜,121.3108040833261,31.194288621902967
素菜,121.30816634783433,31.06032678768489
素菜,121.27234083479817,31.38249803710848
素菜,121.2654655880202,31.27528390643899
素菜,121.2639536947487,31.325988014473918
素菜,121.25386505449556,31.015100003307616
素菜,121.24038986326472,31.059978882886522
素菜,121.23425726362302,31.381078942009218
素菜,121.219702056875,31.00929176949454
素菜,121.20674891812249,31.043027446174644
素菜,121.19805919188913,31.02503353132725
素菜,121.19125156395556,31.035781360802332
素菜,121.18960857797461,31.03588254130253
素菜,121.18960857797461,31.03588254130253
素菜,121.14880891347748,31.165929945567836
素菜,121.04903363476149,31.110374161924856
